id,name
0,New Belgium Snow Day
1,Odell 90 Shilling
2,Funkwerks Saison
3,Guinness Draught
4,Boddington's Ale
5,Breckenridge Vanilla Porter
6,Odell Mercenary
7,Big Beaver IPA
8,Lone Pint Yellow Rose
9,Saint Arnold Winter Stout
10,Abita Turbo Dog
